LONGITUDE,LATITUDE,WKT,NOME_MAPA,BAIRRO,REGIONAL
-49.2149652602311,-25.451692895663,"POINT (-49.2149652602311 -25.451692895663)",TERMINAL OFICINAS,Cajuru,Cajuru
-49.2679933013474,-25.5343917443579,"POINT (-49.2679933013474 -25.5343917443579)",TERMINAL SÍTIO CERCADO,S�tio Cercado,Bairro Novo
-49.2573669658557,-25.4368082192223,"POINT (-49.2573669658557 -25.4368082192223)",TERMINAL RODOFERROVIÁRI,Jardim Bot�nico,Matriz
-49.3501368811311,-25.4837772994067,"POINT (-49.3501368811311 -25.4837772994067)",TERMINAL CAIUÁ,Cidade Industrial de Curitiba,CIC
-49.3303416385135,-25.4009290157998,"POINT (-49.3303416385135 -25.4009290157998)",TERMINAL SANTA FELICIDADE,Santa Felicidade,Santa Felicidade
-49.3245218857989,-25.5116995888008,"POINT (-49.3245218857989 -25.5116995888008)",TERMINAL CIC,Cidade Industrial de Curitiba,CIC
-49.246954823269,-25.4818447432568,"POINT (-49.246954823269 -25.4818447432568)",TERMINAL HAUER,Hauer,Boqueir�o
-49.2408990257779,-25.3933748479847,"POINT (-49.2408990257779 -25.3933748479847)",TERMINAL BOA VISTA,Boa Vista,Boa Vista
-49.2925043655985,-25.476313193232,"POINT (-49.2925043655985 -25.476313193232)",TERMINAL PORTÃO,Port�o,Port�o
-49.3270515554166,-25.4773521177028,"POINT (-49.3270515554166 -25.4773521177028)",TERMINAL FAZENDINHA,Fazendinha,Port�o
-49.2216975954576,-25.4399472703574,"POINT (-49.2216975954576 -25.4399472703574)",TERMINAL CAPÃO DA IMBUIA,Cap�o da Imbuia,Cajuru
-49.3467125322713,-25.4416522332479,"POINT (-49.3467125322713 -25.4416522332479)",TERMINAL CAMPO COMPRIDO,Cidade Industrial de Curitiba,CIC
-49.2081182426262,-25.4689639584827,"POINT (-49.2081182426262 -25.4689639584827)",TERMINAL CENTENÁRIO,Cajuru,Cajuru
-49.2498080647325,-25.4294440566122,"POINT (-49.2498080647325 -25.4294440566122)",TERMINAL SITES,Alto da Rua XV,Matriz
-49.2377190139783,-25.5011781237036,"POINT (-49.2377190139783 -25.5011781237036)",TERMINAL CARMO,Boqueir�o,Boqueir�o
-49.2526417446913,-25.4066565528173,"POINT (-49.2526417446913 -25.4066565528173)",TERMINAL CABRAL,Cabral,Matriz
-49.2053860820489,-25.4130462881618,"POINT (-49.2053860820489 -25.4130462881618)",TERMINAL BAIRRO ALTO,Bairro Alto,Boa Vista
-49.3072989413594,-25.4360065139761,"POINT (-49.3072989413594 -25.4360065139761)",TERMINAL CAMPINA DO SIQUEIRA,Campina do Siqueira,Santa Felicidade
-49.224202400181,-25.3771204685112,"POINT (-49.224202400181 -25.3771204685112)",TERMINAL SANTA CÂNDIDA,Tingui,Boa Vista
-49.2652040924798,-25.43267210114,"POINT (-49.2652040924798 -25.43267210114)",TERMINAL GUADALUPE,Centro,Matriz
-49.230332609007,-25.5170000122604,"POINT (-49.230332609007 -25.5170000122604)",TERMINAL BOQUEIRÃO,Boqueir�o,Boqueir�o
-49.2951914183293,-25.5126906496503,"POINT (-49.2951914183293 -25.5126906496503)",TERMINAL PINHEIRINHO,Cap�o Raso,Pinheirinho
-49.2933143773965,-25.4921316504938,"POINT (-49.2933143773965 -25.4921316504938)",TERMINAL CAPÃO RASO,Novo Mundo,Pinheirinho
-49.2624356369912,-25.3775222309443,"POINT (-49.2624356369912 -25.3775222309443)",TERMINAL BARREIRINHA,Barreirinha,Boa Vista
